scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,-0.012507772639379404,-0.006225565002289041,0.0,-0.0030241974771269852,-0.17327375185348756,0.0,True,0.0,1.0,0.0,True
1,cloud000001.pcd,0.02918595311880586,-0.016074386347093766,0.0,0.0030368383073896992,0.17399801807708232,0.0,True,0.0,1.0,0.0,True
2,cloud000002.pcd,0.007492956593315649,-0.0011321735411412882,0.0,0.0008998158464814303,0.051555650342377565,0.0,True,0.0,1.0,0.0,True
3,cloud000003.pcd,0.05841355679053262,0.027244465392431354,0.0,-0.010801842869680571,-0.6189000073961785,0.3333333333333333,True,0.0,1.0,0.0,True
4,cloud000004.pcd,0.1434827666303472,0.02420096709131645,0.0,-0.007219745375428332,-0.4136609391711375,0.3333074626015957,True,0.0,1.0,0.0,True
5,cloud000005.pcd,0.22932903899940937,0.010123143420175873,0.0,-0.010032752955343973,-0.5748344012386133,0.3332937088548174,True,0.0,1.0,0.0,True
6,cloud000006.pcd,0.33730251534889777,-0.013986169812333795,0.0,-0.029912037016071924,-1.713833477660014,0.333318466092495,True,0.0,1.0,0.0,True
7,cloud000007.pcd,0.4443133765226797,-0.032907035230454525,0.0,-0.04522644362131944,-2.591284341887967,0.3333285616115536,True,0.0,1.0,0.0,True
8,cloud000008.pcd,0.5909297863878505,-0.06370182409827935,0.0,-0.043574161360175674,-2.4966155417600966,0.3333314524575378,True,0.0,1.0,0.0,True
9,cloud000009.pcd,0.6880184597206094,-0.06748832313413743,0.0,-0.04451392266768233,-2.5504598984299243,0.33332842870609375,True,0.0,1.0,0.0,True
10,cloud000010.pcd,0.7853314206786021,-0.06531506495554142,0.0,-0.05271765803123754,-3.0204993110038596,0.3333202618968078,True,0.0,1.0,0.0,True
11,cloud000011.pcd,0.8399178223308841,-0.07226535330354716,0.0,-0.05415183986733888,-3.10267187726679,0.333320541338812,True,0.0,1.0,0.0,True
